,id,number of crimes,Assault,Breaking & Entering,Drugs,Property Crime,Robbery,Theft,Theft from Vehicle,Theft of Vehicle
0,7129300520,408,32.0,131.0,11.0,85.0,6.0,39.0,54.0,50.0
1,6414100192,15,1.0,2.0,5.0,2.0,0.0,2.0,3.0,0.0
2,5631500400,121,10.0,20.0,7.0,36.0,1.0,21.0,21.0,5.0
3,2487200875,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4,1954400510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7237550310,74,4.0,21.0,1.0,24.0,0.0,9.0,13.0,2.0
6,1321400060,3,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
7,2008000270,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,2414600126,4738,435.0,739.0,193.0,1230.0,150.0,801.0,531.0,659.0
9,3793500160,54,5.0,20.0,2.0,9.0,0.0,11.0,7.0,0.0
